Model,Accuracy,Precision,Recall,F1,AUC,MAE,RMSE,R²,Adjusted R²
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8437417654808959,,,,
Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623,,,,
Random Forest,0.8100558659217877,0.7966101694915254,0.6811594202898551,0.734375,0.828722002635046,,,,
Tuned Random Forest,0.8100558659217877,0.8181818181818182,0.6521739130434783,0.7258064516129032,0.8429512516469039,,,,
Linear Regression,,,,,,20.809397730838697,30.473145462848713,0.3998999484440189,0.3679419575327536
